avg,unknown
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
5.84,2.92
12.64,6.32
12.64,6.32
14.88,7.44
18.4,9.2
18.4,9.2
23.6,11.8
23.6,11.8
20.56,10.28
21.55268,10.77634
23.05733333333333,11.528666666666666
30.54357333333333,15.271786666666667
35.166293333333336,17.583146666666668
36.35309333333333,18.176546666666667
37.96342666666666,18.98171333333333
39.86974133333334,19.93487066666667
41.03337333333333,20.516686666666665
38.56,19.28
39.36,19.68
32.16,16.08
34.24,17.12
39.84,19.92
51.36,25.68
53.52,26.76
60.64,30.32
63.28,31.64
66.0,33.0
70.4,35.2
72.24,36.12
62.64,31.32
49.28,24.64
51.68,25.84
54.16,27.08
72.56,36.28
72.56,36.28
79.12,39.56
79.68,39.84
84.08,42.04
85.36,42.68
81.44,40.72
81.12,40.56
76.68228,38.34114
76.72368,38.36184
83.61045333333334,41.80522666666667
86.66204444444445,43.331022222222224
97.09777777777778,48.54888888888889
122.69008333333332,61.34504166666667
132.48668,66.24334
137.12,68.56
139.47589866666667,69.73794933333333
141.36,70.68
132.48,66.24
131.12,65.56
138.95999999999998,69.47999999999999
153.68,76.84
152.96,76.48
156.07999999999998,78.03999999999999
163.92000000000002,81.96000000000001
175.92000000000002,87.96000000000001
188.32,94.16
194.64,97.32
182.96,91.48
173.12,86.56
173.12,86.56
184.0,92.0
189.52,94.76
193.68,96.84
225.20000000000005,112.60000000000002
230.48,115.24
248.72,124.36
255.28,127.64
255.28,127.64
262.88,131.44
263.68,131.84
252.48,126.24
259.6,129.8
266.16,133.07999999999998
271.28,135.64
284.4,142.2
286.56000000000006,143.28000000000003
293.44,146.72
294.79999999999995,147.39999999999998
303.76,151.88
298.56,149.28
300.24,150.12
302.00000000000006,151.00000000000003
309.28,154.64
320.72,160.36
337.04,168.52
337.20000000000005,168.60000000000002
353.36,176.68
368.3200000000001,184.16000000000005
371.52,185.76
366.08,183.04
359.20000000000005,179.60000000000002
357.28,178.64
364.3200000000001,182.16000000000005
375.2,187.6
373.28,186.64
382.48,191.24
382.48,191.24
404.0,202.0
412.8,206.4
415.28,207.64
405.12,202.56
405.6,202.8
401.52,200.76
398.96,199.48
398.96,199.48
400.24,200.12
394.96,197.48
395.92,197.96
402.4,201.2
406.48,203.24
398.88,199.44
410.48,205.24
392.96,196.48
388.24,194.12
394.08,197.04
382.96,191.48
402.24,201.12
418.0,209.0
435.28,217.64
434.4,217.2
451.68,225.84
444.24,222.12
453.36,226.68
457.76,228.88
464.56000000000006,232.28000000000003
463.36,231.68
447.84,223.92
451.52,225.76
434.48,217.24
426.96,213.48
433.68000000000006,216.84000000000003
