avg,unknown
2.88,2.88
3.08,3.08
3.48,3.48
3.56,3.56
3.5200000000000005,3.5200000000000005
3.4,3.4
3.48,3.48
3.92,3.92
4.44,4.44
4.96,4.96
5.32,5.32
5.640000000000001,5.640000000000001
6.28,6.28
6.88,6.88
7.16,7.16
7.04,7.04
7.0,7.0
7.08,7.08
7.48,7.48
7.76,7.76
8.2,8.2
8.72,8.72
8.96,8.96
9.68,9.68
10.12,10.12
10.48,10.48
10.52,10.52
10.52,10.52
10.64,10.64
10.8,10.8
10.72,10.72
11.4,11.4
11.920000000000002,11.920000000000002
12.16,12.16
12.92,12.92
12.96,12.96
13.64283540248298,13.64283540248298
14.24,14.24
14.36,14.36
14.240000000000002,14.240000000000002
14.240000000000002,14.240000000000002
14.32,14.32
14.96,14.96
15.12,15.12
15.52,15.52
15.92,15.92
16.0,16.0
16.560000000000002,16.560000000000002
17.04,17.04
17.16,17.16
16.8,16.8
16.759999999999998,16.759999999999998
16.92,16.92
16.96,16.96
17.36,17.36
17.840000000000003,17.840000000000003
17.92,17.92
18.52,18.52
19.12,19.12
18.96,18.96
19.515971867007675,19.515971867007675
19.76,19.76
19.6,19.6
19.6,19.6
19.56,19.56
19.92,19.92
20.200000000000003,20.200000000000003
20.4,20.4
20.92468930172966,20.92468930172966
21.08,21.08
21.56,21.56
21.92,21.92
21.840000000000003,21.840000000000003
21.8,21.8
21.880000000000003,21.880000000000003
21.92,21.92
21.880000000000003,21.880000000000003
22.28,22.28
22.2,22.2
22.44,22.44
22.92,22.92
23.04,23.04
23.48,23.48
24.04,24.04
23.96,23.96
23.84,23.84
23.88,23.88
24.24,24.24
24.24,24.24
24.6,24.6
24.56,24.56
24.56,24.56
24.64,24.64
24.76,24.76
25.08,25.08
25.08,25.08
25.28,25.28
24.96,24.96
25.040000000000003,25.040000000000003
25.44,25.44
25.72,25.72
25.6,25.6
25.880000000000003,25.880000000000003
25.92,25.92
25.880000000000003,25.880000000000003
26.24,26.24
26.4,26.4
26.24,26.24
26.12,26.12
26.28,26.28
26.2,26.2
26.28,26.28
26.4,26.4
26.36,26.36
26.4,26.4
26.44,26.44
26.52,26.52
26.36,26.36
26.4,26.4
26.48,26.48
26.48,26.48
26.56,26.56
26.56,26.56
26.56,26.56
26.52,26.52
26.6,26.6
26.72,26.72
26.64,26.64
26.8,26.8
27.0,27.0
26.96,26.96
27.0,27.0
27.12,27.12
27.28,27.28
27.2,27.2
27.2,27.2
27.12,27.12
27.16,27.16
27.2,27.2
27.16,27.16
27.23355498721228,27.23355498721228
27.113554987212275,27.113554987212275
27.32,27.32
27.36,27.36
27.44,27.44
27.32,27.32
27.32,27.32
27.239999999999995,27.239999999999995
27.246534272901982,27.246534272901982
27.246534272901982,27.246534272901982
27.16,27.16
27.08,27.08
26.96,26.96
26.880000000000003,26.880000000000003
26.76,26.76
27.04,27.04
27.08,27.08
27.08,27.08
27.0,27.0
27.0,27.0
27.08,27.08
27.12,27.12
27.12,27.12
26.8,26.8
26.84,26.84
27.0,27.0
27.12,27.12
27.08,27.08
26.92,26.92
27.04,27.04
27.24,27.24
27.44,27.44
27.280000000000005,27.280000000000005
26.879999999999995,26.879999999999995
27.0,27.0
27.08,27.08
27.28,27.28
26.880000000000003,26.880000000000003
26.96,26.96
27.12,27.12
27.12,27.12
27.44,27.44
27.08,27.08
27.2,27.2
27.12,27.12
27.56,27.56
27.28,27.28
27.12,27.12
27.08,27.08
27.0,27.0
27.24,27.24
27.200000000000003,27.200000000000003
27.24,27.24
27.1,27.1
27.36,27.36
27.24,27.24
27.28,27.28
27.48,27.48
27.24,27.24
27.16,27.16
26.96,26.96
27.08,27.08
27.12,27.12
27.16,27.16
27.2,27.2
27.08,27.08
27.16,27.16
27.200000000000003,27.200000000000003
27.24,27.24
27.2,27.2
27.28,27.28
27.2,27.2
27.12,27.12
27.08,27.08
27.2,27.2
27.24,27.24
27.32,27.32
27.24,27.24
26.84,26.84
27.03759606541645,27.03759606541645
27.07759606541645,27.07759606541645
27.32,27.32
27.28,27.28
27.12,27.12
27.16,27.16
27.16,27.16
27.24,27.24
27.24242007122564,27.24242007122564
27.16242007122564,27.16242007122564
26.8,26.8
26.879999999999995,26.879999999999995
26.96,26.96
27.04,27.04
27.04,27.04
27.12,27.12
26.84,26.84
26.96,26.96
27.28,27.28
27.16,27.16
27.12,27.12
26.84,26.84
26.96,26.96
26.96,26.96
27.28,27.28
27.08,27.08
26.8,26.8
26.879999999999995,26.879999999999995
27.0,27.0
27.16,27.16
27.04,27.04
27.12,27.12
26.92,26.92
26.96,26.96
27.2,27.2
27.12,27.12
26.880000000000003,26.880000000000003
27.0,27.0
26.96,26.96
26.84,26.84
27.08,27.08
27.12,27.12
27.000000000000004,27.000000000000004
27.16,27.16
27.12,27.12
26.92,26.92
27.12,27.12
27.16,27.16
27.08,27.08
26.96,26.96
26.96,26.96
26.92,26.92
27.08,27.08
27.16,27.16
27.04,27.04
26.96,26.96
26.88,26.88
26.92,26.92
26.96,26.96
26.92,26.92
26.96,26.96
26.96,26.96
26.96,26.96
26.96,26.96
27.040000000000003,27.040000000000003
27.08,27.08
27.12,27.12
27.0,27.0
27.04,27.04
27.04,27.04
27.08,27.08
27.0,27.0
27.0,27.0
27.12,27.12
27.12,27.12
27.16,27.16
27.0,27.0
26.96,26.96
26.84,26.84
27.04,27.04
27.16,27.16
27.08,27.08
27.2,27.2
27.24,27.24
27.28,27.28
27.32,27.32
27.2,27.2
27.36,27.36
27.12,27.12
27.12,27.12
26.956548994522844,26.956548994522844
27.116548994522848,27.116548994522848
27.2,27.2
27.2,27.2
27.28,27.28
27.12,27.12
27.28,27.28
27.32,27.32
27.403558650498265,27.403558650498265
27.20355865049826,27.20355865049826
27.0,27.0
27.0,27.0
27.16,27.16
27.12,27.12
27.08,27.08
27.12,27.12
27.12,27.12
27.0,27.0
27.2,27.2
27.24,27.24
27.32,27.32
27.200000000000003,27.200000000000003
27.200000000000003,27.200000000000003
27.2,27.2
27.28,27.28
27.48,27.48
27.28,27.28
27.24,27.24
27.12,27.12
27.11919369675639,27.11919369675639
27.27919369675639,27.27919369675639
27.24,27.24
27.200000000000003,27.200000000000003
27.24,27.24
27.12,27.12
27.24,27.24
27.24,27.24
27.16081609793175,27.16081609793175
27.16081609793175,27.16081609793175
26.88,26.88
26.92,26.92
26.88,26.88
27.040000000000003,27.040000000000003
27.2,27.2
27.24,27.24
27.36,27.36
27.4,27.4
27.52,27.52
27.44,27.44
27.32,27.32
27.24,27.24
27.12,27.12
27.08,27.08
27.12,27.12
26.96,26.96
26.84,26.84
26.92,26.92
27.154927055437863,27.154927055437863
27.2,27.2
27.08,27.08
27.04,27.04
26.92,26.92
26.92,26.92
27.28,27.28
27.160000000000004,27.160000000000004
26.845171930667306,26.845171930667306
27.0,27.0
27.08,27.08
27.08,27.08
27.16,27.16
27.24,27.24
27.12,27.12
26.96,26.96
27.12,27.12
26.96,26.96
27.0,27.0
26.92,26.92
26.88,26.88
26.68,26.68
26.48,26.48
26.52,26.52
26.48,26.48
26.6,26.6
26.6,26.6
26.48,26.48
26.44,26.44
26.64,26.64
26.96,26.96
27.0,27.0
26.72,26.72
26.6,26.6
26.76,26.76
26.880000000000003,26.880000000000003
26.96,26.96
26.96,26.96
27.04,27.04
26.88,26.88
27.16,27.16
27.32,27.32
26.92,26.92
26.92,26.92
27.04,27.04
27.08,27.08
26.68,26.68
26.840000000000003,26.840000000000003
27.0,27.0
26.84,26.84
27.0,27.0
27.04,27.04
26.8,26.8
26.8,26.8
26.8,26.8
27.04,27.04
26.880000000000003,26.880000000000003
26.92,26.92
26.68,26.68
26.8,26.8
26.84,26.84
26.92,26.92
26.92,26.92
26.8,26.8
26.48,26.48
26.52,26.52
27.0,27.0
26.92,26.92
26.88,26.88
26.84,26.84
26.8,26.8
26.92,26.92
27.28,27.28
27.24,27.24
26.96,26.96
26.96,26.96
26.92,26.92
26.880000000000003,26.880000000000003
27.0,27.0
27.000000000000004,27.000000000000004
27.0,27.0
26.96,26.96
26.96,26.96
27.000000000000004,27.000000000000004
27.08,27.08
27.2,27.2
27.2,27.2
27.0,27.0
27.04,27.04
27.12,27.12
27.24,27.24
27.0,27.0
26.96,26.96
26.96,26.96
26.96,26.96
26.96,26.96
26.84,26.84
26.92,26.92
26.96,26.96
27.08,27.08
27.04,27.04
26.92,26.92
26.96,26.96
27.28,27.28
27.12,27.12
27.16,27.16
27.04,27.04
26.880000000000003,26.880000000000003
27.0,27.0
26.84,26.84
26.84,26.84
26.8,26.8
26.96,26.96
27.0,27.0
26.96,26.96
27.12,27.12
27.08,27.08
27.48,27.48
27.44,27.44
26.92,26.92
27.0,27.0
26.92,26.92
26.8,26.8
26.76,26.76
26.880000000000003,26.880000000000003
26.88,26.88
26.88,26.88
26.8,26.8
26.84,26.84
27.08,27.08
27.0,27.0
27.08,27.08
26.92,26.92
26.84,26.84
26.92,26.92
27.24,27.24
26.96,26.96
26.64,26.64
27.0,27.0
27.04,27.04
26.96,26.96
26.64,26.64
26.56,26.56
26.92,26.92
26.96,26.96
27.08,27.08
26.92,26.92
26.84,26.84
26.88,26.88
26.56,26.56
27.040000000000003,27.040000000000003
26.84,26.84
26.840000000000003,26.840000000000003
26.76,26.76
26.72,26.72
26.64,26.64
26.72,26.72
27.04,27.04
26.84,26.84
26.76,26.76
26.72,26.72
26.8,26.8
26.76,26.76
26.96,26.96
26.92,26.92
26.76,26.76
26.92,26.92
27.08,27.08
27.04,27.04
26.84,26.84
26.96,26.96
26.92,26.92
26.840000000000003,26.840000000000003
27.037596065416448,27.037596065416448
26.95759606541645,26.95759606541645
26.8,26.8
26.84,26.84
26.84,26.84
26.93,26.93
26.84,26.84
26.96,26.96
26.76239126085391,26.76239126085391
26.64239126085391,26.64239126085391
26.8,26.8
26.76,26.76
26.8,26.8
26.84,26.84
26.879999999999995,26.879999999999995
26.8,26.8
26.879999999999995,26.879999999999995
26.880000000000003,26.880000000000003
26.76,26.76
26.84,26.84
26.96,26.96
26.96,26.96
26.8,26.8
26.88,26.88
26.92,26.92
26.76,26.76
26.96,26.96
26.880000000000003,26.880000000000003
