,count
0,1086
1,1205
2,1162
3,1190
4,1026
5,1348
6,1139
7,1047
8,1212
9,1086
10,1094
11,1169
12,1145
13,1244
14,1060
15,1039
16,1041
17,1005
18,1175
19,977
20,1190
21,1077
22,1056
23,1037
24,970
25,1077
26,1143
27,998
28,1184
29,1122
30,1150
31,1068
32,1160
33,1094
34,1064
35,1086
36,1233
37,1229
38,1275
39,1184
40,1173
41,1147
42,1047
43,1160
44,1009
45,1026
46,1083
47,1054
48,1259
49,1105
50,1218
51,1083
52,1034
53,1017
54,992
55,1000
56,1034
57,1113
58,1190
59,972
60,1034
61,1158
62,1122
63,1167
64,1203
65,1235
66,1115
67,1062
68,1115
69,1109
70,1107
71,1079
72,1098
73,1192
74,1030
75,1150
76,1128
77,1165
78,1077
79,1120
80,1175
81,1203
82,1090
83,1094
84,1062
85,1162
86,1105
87,1083
88,1090
89,1105
90,1220
91,1086
92,998
93,1120
94,1086
95,1175
96,1056
97,1090
98,1098
99,1147
100,1229
101,1212
102,1147
103,1124
104,1026
105,1188
106,1115
107,1084
108,1135
109,1090
110,1137
111,1165
112,1212
113,1122
114,1137
115,1218
116,1152
117,1100
118,1165
119,1090
120,1131
121,1184
122,1084
123,1203
124,1180
125,1184
126,1128
127,1290
128,1128
129,1244
130,1152
131,1167
132,1077
133,1205
134,1226
135,1098
136,1147
137,1090
138,1011
139,1115
140,1115
141,1101
142,1092
143,1147
144,1083
145,1069
146,1077
147,1017
148,1218
149,1069
150,1197
151,1137
152,1109
153,1101
154,1113
155,1386
156,1122
157,1147
158,1064
159,1122
160,1214
161,1226
162,1054
163,1218
164,1165
165,1147
166,1190
167,1002
168,1105
169,990
170,1105
171,1160
172,1007
173,1062
174,1211
175,1233
176,1199
177,1062
178,1175
179,1120
180,1105
181,1212
182,979
183,1169
184,1115
185,1092
186,1162
187,1062
188,1195
189,1165
190,1115
191,1116
192,1143
193,1252
194,1019
195,1101
196,1169
197,1162
198,1113
199,1113
200,1165
201,1397
202,1175
203,1192
204,1380
205,1122
206,1090
207,1158
208,983
209,1026
210,1075
211,1152
212,1122
213,1109
214,1083
215,1083
216,1167
217,1060
218,1273
219,1135
220,1162
221,1135
222,1077
223,1152
224,1162
225,1147
226,1303
227,1115
228,1199
229,1039
230,1049
231,1056
232,977
233,1154
234,1105
235,1005
236,1190
237,1045
238,1100
239,1015
240,1007
241,1229
242,956
243,1026
244,1079
245,1116
246,1259
247,1214
248,1177
249,1169
250,1154
251,1295
252,1211
253,1284
254,1197
255,1282
256,1197
257,1152
258,1154
259,1211
260,1190
261,1227
262,1192
263,1214
264,1182
265,1350
266,1276
267,1116
268,1145
269,1131
270,1150
271,1011
272,1064
273,1128
274,1135
275,1211
276,1175
277,1154
278,1090
279,1034
280,1169
281,1032
282,1169
283,1218
284,1276
285,1267
286,1284
287,1290
288,1280
289,1235
290,1218
291,1150
292,1203
293,1291
294,1169
295,1203
296,1233
297,1195
298,1139
299,1192
300,1173
301,1130
302,1120
303,1276
304,1188
305,1465
306,1241
307,1152
308,1162
309,1280
310,1190
311,1165
312,1273
313,1227
314,1173
315,1273
316,1147
317,1167
318,1290
319,1197
320,1314
321,1250
322,1175
323,1160
324,1154
325,1162
326,1180
327,1098
328,1248
329,1077
330,1235
331,1083
332,1135
333,1410
334,1199
335,1190
336,1265
337,1290
338,1218
339,1135
340,1180
341,1162
342,1235
343,1333
344,1131
345,1333
346,1261
347,1218
348,1352
349,1109
350,1115
351,1077
352,1105
353,1199
354,1165
355,1205
356,1248
357,1086
358,1147
359,1122
360,1303
361,1158
362,1109
363,1120
364,1145
365,1158
366,1214
367,1165
368,1180
369,1139
370,1237
371,1100
372,1077
373,1169
374,1203
375,1227
376,1335
377,1220
378,1265
379,1145
380,1335
381,1248
382,1220
383,1275
384,1258
385,1290
386,1211
387,1150
388,1303
389,1115
390,1197
391,1019
392,1069
393,1152
394,1190
395,1173
396,1047
397,1062
398,1109
399,1128
400,1252
401,1122
402,1032
403,1131
404,1154
405,1335
406,1207
407,1098
408,1265
409,1167
410,1229
411,1147
412,1092
413,1068
414,1135
415,1190
416,1116
417,1054
418,1115
419,1162
420,1173
421,1203
422,1047
423,1069
424,1047
425,1041
426,1165
427,1131
428,1075
429,1128
430,1290
431,1084
432,1154
433,1094
434,1062
435,1305
436,1015
437,1165
438,1173
439,1062
440,1090
441,1034
442,994
443,1211
444,1030
445,1120
446,1064
447,987
448,1005
449,1094
450,1122
451,1212
452,1105
453,1116
454,1124
455,1465
456,1205
457,1128
458,1169
459,1190
460,1182
461,1026
462,1030
463,1244
464,1243
465,1060
466,1041
467,1158
468,1131
469,994
470,987
471,1034
472,1098
473,1047
474,1086
475,1147
476,1143
477,1090
478,1243
479,1090
480,1079
481,941
482,1069
483,1113
484,1092
485,1060
486,1052
487,1120
488,1192
489,1165
490,1173
491,990
492,1060
493,1069
494,1147
495,1005
496,932
497,908
498,1019
499,926
500,1015
501,1041
502,945
503,1128
504,1009
505,1100
506,1077
507,925
508,1039
509,1139
510,1034
511,911
512,970
513,1037
514,1034
515,1032
516,956
517,1039
518,1015
519,1107
520,1026
521,894
522,842
523,994
524,975
525,1195
526,932
527,900
528,1084
529,1062
530,1019
531,975
532,975
533,926
534,1094
535,1024
536,987
537,919
538,975
539,1026
540,977
541,977
542,964
543,1060
544,1086
545,985
546,930
547,994
548,934
549,990
550,964
551,1218
552,821
553,1086
554,1056
555,956
556,874
557,945
558,1152
559,1000
560,1009
561,1090
562,975
563,1100
564,870
565,1062
566,923
567,949
568,1069
569,1037
570,1077
571,1009
572,962
573,962
574,941
575,908
576,1041
577,817
578,979
579,962
580,953
581,926
582,893
583,1017
584,960
585,1049
586,1005
587,964
588,945
589,864
590,1009
591,949
592,1039
593,1005
594,956
595,1009
596,949
597,1005
598,1034
599,894
600,1000
601,1060
602,1009
603,909
604,953
605,1218
606,940
607,926
608,962
609,1034
610,1000
611,926
612,900
613,970
614,925
615,968
616,964
617,940
618,908
619,849
620,934
621,896
622,894
623,825
624,857
625,908
626,932
627,879
628,1030
629,896
630,1034
631,877
632,972
633,934
634,810
635,1007
636,962
637,1131
638,977
639,834
640,970
641,893
642,889
643,900
644,879
645,1015
646,795
647,849
648,1009
649,902
650,1022
651,909
652,887
653,864
654,885
655,1011
656,881
657,821
658,919
659,829
660,940
661,894
662,864
663,885
664,750
665,795
666,825
667,795
668,821
669,840
670,998
671,881
672,812
673,908
674,780
675,798
676,819
677,787
678,780
679,787
680,751
681,795
682,765
683,804
684,874
685,911
686,908
687,836
688,870
689,862
690,932
691,787
692,797
693,887
694,714
695,889
696,719
697,821
698,819
699,804
700,821
701,806
702,885
703,798
704,797
705,900
706,736
707,744
708,836
709,721
710,879
711,806
712,827
713,780
714,787
715,896
716,736
717,791
718,797
719,791
720,881
721,780
722,759
723,787
724,750
725,949
726,783
727,798
728,774
729,665
730,744
731,729
732,789
733,740
734,669
735,940
736,736
737,834
738,813
739,601
740,795
741,750
742,734
743,659
744,704
745,806
746,697
747,718
748,742
749,798
750,874
751,849
752,797
753,721
754,714
755,1094
756,665
757,836
758,736
759,812
760,780
761,676
762,751
763,791
764,719
765,866
766,631
767,748
768,689
769,919
770,748
771,877
772,776
773,714
774,712
775,682
776,750
777,776
778,774
779,674
780,780
781,654
782,734
783,740
784,783
785,825
786,761
787,874
788,772
789,733
790,765
791,795
792,751
793,757
794,712
795,721
796,791
797,674
798,684
799,791
800,851
801,787
802,650
803,772
804,665
805,657
806,751
807,616
808,719
809,665
810,761
811,727
812,582
813,744
814,761
815,718
816,797
817,652
818,699
819,706
820,810
821,635
822,759
823,889
824,729
825,742
826,748
827,718
828,750
829,687
830,654
831,744
832,733
833,665
834,665
835,719
836,637
837,712
838,695
839,669
840,695
841,736
842,659
843,819
844,702
845,680
846,733
847,659
848,652
849,734
850,751
851,637
852,637
853,712
854,781
855,748
856,704
857,750
858,750
859,706
860,665
861,682
862,734
863,672
864,695
865,631
866,819
867,695
868,740
869,674
870,787
871,637
872,691
873,608
874,669
875,684
876,736
877,652
878,725
879,652
880,755
881,755
882,644
883,719
884,714
885,684
886,637
887,665
888,691
889,697
890,661
891,652
892,563
893,682
894,638
895,682
896,614
897,665
898,582
899,695
900,584
901,637
902,768
903,748
904,710
905,992
906,680
907,680
908,650
909,622
910,776
911,642
912,548
913,836
914,676
915,676
916,652
917,590
918,563
919,608
920,817
921,582
922,590
923,593
924,638
925,787
926,742
927,575
928,684
929,627
930,687
931,608
932,631
933,575
934,620
935,780
936,642
937,591
938,612
939,744
940,661
941,710
