/ && GET,/cart && GET,/cart/checkout && POST,/product/{id} && GET,/setCurrency && POST,avg
10.525000000000002,9.600000000000003,2.8750000000000004,19.050000000000004,0.9000000000000001,42.95000000000001
10.525,9.6,2.875,19.05,0.9,42.949999999999996
10.525,9.6,2.875,19.05,0.9,42.949999999999996
10.45,9.625,2.775,19.05,0.85,42.75
10.45,9.625,2.775,19.05,0.85,42.75
10.575,9.675,2.825,18.95,0.925,42.949999999999996
10.575,9.675,2.825,18.95,0.925,42.949999999999996
10.3,9.7,2.875,18.975,0.8,42.65
10.3,9.7,2.875,18.975,0.8,42.65
10.575,9.75,2.725,18.975,0.875,42.9
10.575,9.75,2.725,18.975,0.875,42.9
10.575,9.75,2.725,18.975,0.875,42.9
10.6,9.7,2.825,18.95,0.8,42.875
10.6,9.7,2.825,18.95,0.8,42.875
10.8,9.775,2.775,19.125,0.85,43.325
10.8,9.775,2.775,19.125,0.85,43.325
10.425,9.725,2.8,19.125,0.875,42.95
10.425,9.725,2.8,19.125,0.875,42.95
10.425,9.725,2.8,19.125,0.875,42.95
10.325,9.675,3.0,19.025,0.825,42.85
10.325,9.675,3.0,19.025,0.825,42.85
10.425,9.525,2.95,18.875,0.925,42.699999999999996
10.425,9.525,2.95,18.875,0.925,42.699999999999996
10.4,9.525,3.075,19.1,0.8,42.9
10.4,9.525,3.075,19.1,0.8,42.9
10.35,9.4,2.775,19.075,0.875,42.475
10.35,9.4,2.775,19.075,0.875,42.475
10.35,9.4,2.775,19.075,0.875,42.475
10.15,9.475,2.925,18.875,0.825,42.25
10.15,9.475,2.925,18.875,0.825,42.25
10.075,9.525,2.875,18.75,0.85,42.075
10.075,9.525,2.875,18.75,0.85,42.075
9.975,9.45,2.775,18.5,0.925,41.625
9.975,9.45,2.775,18.5,0.925,41.625
9.975,9.45,2.775,18.5,0.925,41.625
10.175,9.325,2.825,18.8,0.925,42.05
10.175,9.325,2.825,18.8,0.925,42.05
9.8,9.15,2.7,18.45,0.875,40.975
9.8,9.15,2.7,18.45,0.875,40.975
9.85,9.35,2.65,18.7,0.825,41.375
9.85,9.35,2.65,18.7,0.825,41.375
9.575,9.175,2.55,18.225,0.95,40.475
9.575,9.175,2.55,18.225,0.95,40.475
9.575,9.175,2.55,18.225,0.95,40.475
9.85,9.275,2.7,18.525,0.9,41.25
9.85,9.275,2.7,18.525,0.9,41.25
9.899999999999997,9.124999999999998,2.724999999999999,18.775,0.9249999999999998,41.44999999999999
9.9,9.125,2.725,18.775,0.925,41.449999999999996
9.925,9.1,2.675,18.925,0.9,41.525
9.925,9.1,2.675,18.925,0.9,41.525
10.024999999999997,9.249999999999998,2.7749999999999995,19.274999999999995,0.8249999999999998,42.14999999999999
10.025,9.25,2.775,19.275,0.825,42.150000000000006
10.025,9.25,2.775,19.275,0.825,42.150000000000006
10.025,9.325,2.65,18.975,0.75,41.725
10.025,9.325,2.65,18.975,0.75,41.725
10.2,9.55,2.6,19.4,0.8,42.55
10.2,9.55,2.6,19.4,0.8,42.55
10.15,9.375,2.7,19.2,0.825,42.25
10.15,9.375,2.7,19.2,0.825,42.25
10.15,9.375,2.7,19.2,0.825,42.25
10.475,9.55,2.725,19.425,0.775,42.949999999999996
10.475,9.55,2.725,19.425,0.775,42.949999999999996
10.125,9.55,2.85,19.225,0.775,42.525
10.125,9.55,2.85,19.225,0.775,42.525
9.95,9.45,2.7,18.825,0.725,41.65
9.95,9.45,2.7,18.825,0.725,41.65
10.025,9.6,2.8,19.0,0.775,42.199999999999996
10.025,9.6,2.8,19.0,0.775,42.199999999999996
10.025,9.6,2.8,19.0,0.775,42.199999999999996
9.775,9.35,2.75,18.625,0.725,41.225
9.775,9.35,2.75,18.625,0.725,41.225
9.975,9.65,2.975,18.775,0.825,42.2
9.975,9.65,2.975,18.775,0.825,42.2
10.2,9.65,2.975,18.7,0.825,42.35
10.2,9.65,2.975,18.7,0.825,42.35
10.075,9.7,3.075,18.7,0.775,42.324999999999996
10.075,9.7,3.075,18.7,0.775,42.324999999999996
10.075,9.7,3.075,18.7,0.775,42.324999999999996
9.825,9.425,3.05,18.575,0.75,41.625
9.825,9.425,3.05,18.575,0.75,41.625
10.025,9.55,2.95,18.85,0.775,42.15
10.025,9.55,2.95,18.85,0.775,42.15
9.975,9.525,3.025,18.875,0.825,42.225
9.975,9.525,3.025,18.875,0.825,42.225
9.95,9.525,2.95,18.825,0.8,42.05
9.95,9.525,2.95,18.825,0.8,42.05
9.95,9.525,2.95,18.825,0.8,42.05
10.225,9.65,2.95,19.325,0.825,42.975
10.225,9.65,2.95,19.325,0.825,42.975
10.025,9.4,2.925,19.225,0.775,42.35
10.025,9.4,2.925,19.225,0.775,42.35
9.775,9.2,3.0,19.0,0.775,41.75
9.775,9.2,3.0,19.0,0.775,41.75
10.05,9.25,2.95,19.25,0.85,42.35
10.05,9.25,2.95,19.25,0.85,42.35
10.05,9.25,2.95,19.25,0.85,42.35
10.075,9.225,2.825,19.0,0.85,41.975
10.075,9.225,2.825,19.0,0.85,41.975
10.05,9.2,2.775,19.05,0.85,41.925000000000004
10.05,9.2,2.775,19.05,0.85,41.925000000000004
