/ && GET,/cart && GET,/cart/checkout && POST,/product/{id} && GET,/setCurrency && POST,avg
9.65,9.125,2.775,18.0,0.925,40.474999999999994
9.65,9.125,2.775,18.0,0.925,40.474999999999994
9.8,8.975,2.825,18.075,0.95,40.625
9.8,8.975,2.825,18.075,0.95,40.625
9.975,8.9,2.825,17.975,1.0,40.675
9.975,8.9,2.825,17.975,1.0,40.675
9.875,8.825,2.75,17.925,0.975,40.35
9.875,8.825,2.75,17.925,0.975,40.35
10.175,8.95,2.875,18.35,0.975,41.325
10.175,8.95,2.875,18.35,0.975,41.325
10.175,8.95,2.875,18.35,0.975,41.325
10.075,8.875,2.775,18.25,0.85,40.825
10.075,8.875,2.775,18.25,0.85,40.825
10.075,9.125,2.825,18.775,0.825,41.625
10.075,9.125,2.825,18.775,0.825,41.625
10.175000000000002,9.250000000000002,2.8500000000000005,18.575000000000003,0.8500000000000002,41.70000000000001
10.175,9.25,2.85,18.575,0.85,41.7
10.175,9.25,2.85,18.575,0.85,41.7
10.3,9.35,2.825,18.775,0.85,42.1
10.3,9.35,2.825,18.775,0.85,42.1
10.25,9.325,2.875,18.675,0.85,41.975
10.25,9.325,2.875,18.675,0.85,41.975
10.125,9.425,2.85,18.7,0.8,41.9
10.125,9.425,2.85,18.7,0.8,41.9
10.1,9.425,2.75,19.075,0.8,42.15
10.1,9.425,2.75,19.075,0.8,42.15
10.1,9.425,2.75,19.075,0.8,42.15
10.275,9.25,2.625,18.625,0.925,41.699999999999996
10.275,9.25,2.625,18.625,0.925,41.699999999999996
10.35,9.275,2.7,18.4,0.95,41.675000000000004
10.35,9.275,2.7,18.4,0.95,41.675000000000004
10.3,9.125,2.65,18.2,0.975,41.25
10.3,9.125,2.65,18.2,0.975,41.25
10.3,9.125,2.65,18.2,0.975,41.25
10.35,9.0,2.65,18.125,0.95,41.075
10.35,9.0,2.65,18.125,0.95,41.075
10.3,9.1,2.725,18.075,0.95,41.150000000000006
10.3,9.1,2.725,18.075,0.95,41.150000000000006
10.225,9.225,2.675,18.075,0.9,41.1
10.225,9.225,2.675,18.075,0.9,41.1
10.3,9.125,2.85,18.25,0.975,41.5
10.25,9.025,2.875,17.45,0.95,40.550000000000004
10.25,9.025,2.875,17.45,0.95,40.550000000000004
10.25,9.025,2.875,17.45,0.95,40.550000000000004
9.75,8.8,2.875,17.15,0.875,39.45
9.75,8.8,2.875,17.15,0.875,39.45
9.6,8.825,2.875,17.275,0.875,39.45
9.6,8.825,2.875,17.275,0.875,39.45
9.6,8.95,2.875,17.325,0.875,39.625
9.6,8.95,2.875,17.325,0.875,39.625
9.45,9.0,2.875,17.525,0.875,39.725
9.45,9.0,2.875,17.525,0.875,39.725
9.45,9.0,2.875,17.525,0.875,39.725
9.2,8.825,2.825,17.325,0.85,39.025
9.2,8.825,2.825,17.325,0.85,39.025
9.15,8.5,2.95,16.8,0.925,38.324999999999996
9.15,8.5,2.95,16.8,0.925,38.324999999999996
9.125000000000002,8.450000000000001,2.6750000000000007,16.575000000000003,0.8000000000000002,37.625
9.125,8.45,2.675,16.575,0.8,37.625
9.125,8.45,2.675,16.575,0.8,37.625
9.375,8.575,2.775,16.85,0.9,38.475
9.375,8.575,2.775,16.85,0.9,38.475
9.65,9.0,2.775,17.55,0.85,39.825
9.65,9.0,2.775,17.55,0.85,39.825
9.875,8.975,2.7,17.5,0.875,39.925
9.875,8.975,2.7,17.5,0.875,39.925
9.9,8.925,2.775,17.75,0.875,40.225
9.9,8.925,2.775,17.75,0.875,40.225
9.9,8.925,2.775,17.75,0.875,40.225
9.875,8.975,2.7,17.875,0.8,40.224999999999994
9.875,8.975,2.7,17.875,0.8,40.224999999999994
10.25,9.1,2.7,18.125,0.85,41.025
10.25,9.1,2.7,18.125,0.85,41.025
10.4,9.4,2.6,18.65,0.85,41.9
10.4,9.4,2.6,18.65,0.85,41.9
10.325,9.55,2.65,18.725,0.925,42.175
10.325,9.55,2.65,18.725,0.925,42.175
10.325,9.55,2.65,18.725,0.925,42.175
10.2,9.55,2.725,19.0,0.9,42.375
10.2,9.55,2.725,19.0,0.9,42.375
10.05,9.45,2.75,18.85,0.875,41.975
10.05,9.45,2.75,18.85,0.875,41.975
9.725,9.175,2.8,18.425,0.85,40.975
9.725,9.175,2.8,18.425,0.85,40.975
9.714285714285715,9.142857142857142,2.771428571428572,18.171428571428574,0.8571428571428572,40.65714285714286
9.75,9.2,2.9,18.2,0.825,40.875
9.75,9.2,2.9,18.2,0.825,40.875
9.8,9.0,2.85,17.775,0.9,40.324999999999996
9.8,9.0,2.85,17.775,0.9,40.324999999999996
9.675,8.925,2.9,17.625,0.85,39.975
9.675,8.925,2.9,17.625,0.85,39.975
9.675,8.825,2.75,17.45,0.85,39.550000000000004
9.675,8.825,2.75,17.45,0.85,39.550000000000004
9.675,8.825,2.75,17.45,0.85,39.550000000000004
9.6,8.575,2.875,17.4,0.925,39.375
9.6,8.575,2.875,17.4,0.925,39.375
9.625,8.55,2.775,17.275,0.875,39.1
9.625,8.55,2.775,17.275,0.875,39.1
9.65,8.55,2.825,17.25,0.95,39.225
9.65,8.55,2.825,17.25,0.95,39.225
9.8,8.9,2.8,17.8,0.95,40.25
9.8,8.9,2.8,17.8,0.95,40.25
9.8,8.9,2.8,17.8,0.95,40.25
9.75,8.775,2.675,17.55,0.925,39.675
9.75,8.775,2.675,17.55,0.925,39.675
9.725,8.975,2.7,17.875,0.875,40.15
9.725,8.975,2.7,17.875,0.875,40.15
9.5,8.925,2.65,17.75,0.875,39.7
9.5,8.925,2.65,17.75,0.875,39.7
9.55,8.95,2.9,17.85,0.875,40.125
9.55,8.95,2.9,17.85,0.875,40.125
9.55,8.95,2.9,17.85,0.875,40.125
9.7,9.1,2.775,18.0,0.85,40.425000000000004
9.7,9.1,2.775,18.0,0.85,40.425000000000004
9.525,9.1,2.85,17.75,0.85,40.075
9.525,9.1,2.85,17.75,0.85,40.075
9.725,9.175,2.8,17.9,0.8,40.4
9.725,9.175,2.8,17.9,0.8,40.4
9.825,8.95,2.825,17.525,0.825,39.95
9.825,8.95,2.825,17.525,0.825,39.95
9.825,8.95,2.825,17.525,0.825,39.95
9.8,8.85,2.8,17.475,0.85,39.775
9.8,8.85,2.8,17.475,0.85,39.775
9.775,8.725,2.875,17.45,0.9,39.725
9.775,8.725,2.875,17.45,0.9,39.725
9.9,8.75,2.9,17.575,0.95,40.075
9.9,8.75,2.9,17.575,0.95,40.075
9.8,8.8,2.75,17.7,0.95,40.0
9.8,8.8,2.75,17.7,0.95,40.0
9.8,8.8,2.75,17.7,0.95,40.0
9.725000000000003,8.850000000000001,2.8000000000000007,17.700000000000003,0.8750000000000001,39.95000000000001
9.725,8.85,2.8,17.7,0.875,39.95
9.875,8.975,2.75,18.05,0.9,40.55
9.875,8.975,2.75,18.05,0.9,40.55
9.924999999999997,8.974999999999998,2.6749999999999994,17.924999999999997,0.9249999999999998,40.42499999999999
9.925,8.975,2.675,17.925,0.925,40.425
9.925,8.975,2.675,17.925,0.925,40.425
9.825,9.2,2.625,18.3,0.925,40.875
9.825,9.2,2.625,18.3,0.925,40.875
9.9,9.375,2.65,18.625,0.95,41.5
9.9,9.375,2.65,18.625,0.95,41.5
9.975,9.525,2.6,18.675,0.95,41.725
9.975,9.525,2.6,18.675,0.95,41.725
9.95,9.575,2.55,18.825,0.875,41.775
9.95,9.575,2.55,18.825,0.875,41.775
9.95,9.575,2.55,18.825,0.875,41.775
9.925,9.525,2.5,18.6,0.875,41.425
9.925,9.525,2.5,18.6,0.875,41.425
9.9,9.4,2.6,18.425,0.9,41.225
9.9,9.4,2.6,18.425,0.9,41.225
9.9,9.325,2.575,18.175,0.85,40.825
9.9,9.325,2.575,18.175,0.85,40.825
9.875,9.125,2.625,18.3,0.85,40.775
9.875,9.125,2.625,18.3,0.85,40.775
9.875,9.125,2.625,18.3,0.85,40.775
9.875,9.125,2.525,18.325,0.8,40.65
9.875,9.125,2.525,18.325,0.8,40.65
10.025,9.125,2.5,18.175,0.825,40.650000000000006
10.025,9.125,2.5,18.175,0.825,40.650000000000006
9.925,9.2,2.55,18.3,0.75,40.725
9.925,9.2,2.55,18.3,0.75,40.725
10.1,9.225,2.45,18.2,0.8,40.775
10.1,9.225,2.45,18.2,0.8,40.775
10.1,9.225,2.45,18.2,0.8,40.775
10.075,9.25,2.425,18.3,0.75,40.8
10.075,9.25,2.425,18.3,0.75,40.8
10.275,9.45,2.5,18.475,0.8,41.5
10.275,9.45,2.5,18.475,0.8,41.5
10.275,9.4,2.475,18.725,0.85,41.725
10.275,9.4,2.475,18.725,0.85,41.725
10.175,9.725,2.525,18.675,0.8,41.9
10.175,9.725,2.525,18.675,0.8,41.9
10.175,9.725,2.525,18.675,0.8,41.9
