/ && GET,/cart && GET,/cart/checkout && POST,/product/{id} && GET,/setCurrency && POST,avg,unknown
9.925,9.125,2.525,17.9,0.925,40.4,0.0
9.925,9.125,2.525,17.9,0.925,40.4,0.0
9.95,9.125,2.65,17.975,0.925,40.625,0.0
9.95,9.125,2.65,17.975,0.925,40.625,0.0
9.95,9.125,2.65,17.975,0.925,40.625,0.0
9.85,9.05,2.55,18.025,0.925,40.4,0.0
9.85,9.05,2.55,18.025,0.925,40.4,0.0
9.8,9.15,2.7,17.8,0.95,40.400000000000006,0.0
9.8,9.15,2.7,17.8,0.95,40.400000000000006,0.0
9.625,8.975,2.675,17.65,0.875,39.8,0.0
9.625,8.975,2.675,17.65,0.875,39.8,0.0
9.625,8.95,2.725,17.475,0.925,39.699999999999996,0.0
9.625,8.95,2.725,17.475,0.925,39.699999999999996,0.0
9.625,8.95,2.725,17.475,0.925,39.699999999999996,0.0
9.725,9.1,2.75,17.6,0.975,40.15,0.0
9.725,9.1,2.75,17.6,0.975,40.15,0.0
9.625,8.975,2.7,17.475,0.95,39.725,0.0
9.625,8.975,2.7,17.475,0.95,39.725,0.0
9.7,9.2,2.75,17.6,0.95,40.2,0.0
9.7,9.2,2.75,17.6,0.95,40.2,0.0
9.725,9.175,2.625,17.575,0.975,40.075,0.0
9.725,9.175,2.625,17.575,0.975,40.075,0.0
9.85,9.325,2.775,17.55,0.925,40.425,0.0
9.85,9.325,2.775,17.55,0.925,40.425,0.0
9.85,9.325,2.775,17.55,0.925,40.425,0.0
9.875,9.225,2.725,17.6,0.85,40.275,0.0
9.875,9.225,2.725,17.6,0.85,40.275,0.0
10.1,9.2,2.775,17.7,0.925,40.699999999999996,0.0
10.1,9.2,2.775,17.7,0.925,40.699999999999996,0.0
9.975,9.25,2.75,17.875,0.8,40.65,0.0
9.975,9.25,2.75,17.875,0.8,40.65,0.0
9.875,9.175,2.675,17.925,0.75,40.4,0.0
9.875,9.175,2.675,17.925,0.75,40.4,0.0
9.875,9.175,2.675,17.925,0.75,40.4,0.0
10.05,9.25,2.65,18.15,0.775,40.875,0.0
10.05,9.25,2.65,18.15,0.775,40.875,0.0
9.375,8.9,2.65,17.5,0.775,39.199999999999996,0.0
9.375,8.9,2.65,17.5,0.775,39.199999999999996,0.0
9.5,8.85,2.6,17.4,0.725,39.075,0.0
9.5,8.85,2.6,17.4,0.725,39.075,0.0
9.425,8.775,2.55,17.45,0.725,38.925000000000004,0.0
9.425,8.775,2.55,17.45,0.725,38.925000000000004,0.0
9.425,8.775,2.55,17.45,0.725,38.925000000000004,0.0
9.375,8.7,2.325,17.45,0.725,38.575,0.0
9.375,8.7,2.325,17.45,0.725,38.575,0.0
9.45,8.7,2.55,17.675,0.775,39.15,0.0
9.45,8.7,2.55,17.675,0.775,39.15,0.0
9.5,8.6,2.5,17.525,0.875,39.0,0.0
9.5,8.6,2.5,17.525,0.875,39.0,0.0
9.4,8.425,2.5,17.3,0.875,38.5,0.0
9.4,8.425,2.5,17.3,0.875,38.5,0.0
9.4,8.425,2.5,17.3,0.875,38.5,0.0
9.25,8.35,2.525,17.225,0.875,38.225,0.0
9.25,8.35,2.525,17.225,0.875,38.225,0.0
9.525,8.25,2.45,17.375,0.775,38.375,0.0
9.525,8.25,2.45,17.375,0.775,38.375,0.0
9.225,8.125,2.6,17.325,0.825,38.1,0.0
9.225,8.125,2.6,17.325,0.825,38.1,0.0
9.1,8.025,2.475,17.175,0.825,37.6,0.0
9.1,8.025,2.475,17.175,0.825,37.6,0.0
