adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,redis-cart,shippingservice
1,1,12,1,1,12,1,1,10,1,1
1,1,12,10,1,13,1,1,12,1,1
1,1,11,12,1,11,1,1,12,1,1
1,1,11,12,1,11,1,1,4,1,1
1,1,13,4,1,13,1,1,4,1,1
1,1,10,11,1,2,1,1,2,1,1
1,1,13,2,1,12,1,1,2,1,1
1,1,13,2,1,12,1,1,2,1,1
1,1,13,5,1,13,1,1,5,1,1
1,1,13,5,1,13,1,1,5,1,1
1,1,13,8,10,13,1,1,8,1,1
1,1,9,8,10,13,1,1,8,1,1
1,1,12,8,10,13,1,1,8,1,1
1,1,12,12,4,12,1,1,12,1,1
1,1,12,12,4,12,1,1,12,1,1
1,1,13,12,2,13,1,1,12,1,1
1,1,10,12,2,13,1,1,12,1,1
1,1,13,12,5,13,1,1,12,1,1
1,1,11,12,5,13,1,1,12,1,1
1,1,13,12,8,13,1,1,12,1,1
1,1,11,12,8,13,1,1,12,1,1
1,1,11,12,8,13,1,1,12,1,1
1,1,12,12,8,13,1,1,12,1,1
1,1,12,12,8,13,1,1,12,1,1
1,1,12,12,8,13,1,1,12,1,1
1,1,12,12,8,13,1,1,12,1,1
1,10,12,12,8,13,1,1,12,1,1
1,10,12,12,8,13,1,1,12,1,1
1,10,13,12,8,13,1,1,12,1,1
1,10,13,12,8,13,1,1,12,1,1
1,10,13,12,8,13,1,1,12,1,1
1,10,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,12,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
1,13,13,12,8,13,1,1,12,1,1
