adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,redis-cart,shippingservice
1,5,2,2,1,1,1,1,1,1,4
1,6,3,4,1,1,1,3,1,1,4
1,7,4,5,1,1,1,3,1,1,7
1,9,6,7,1,1,1,3,1,1,9
1,9,6,7,1,1,1,3,1,1,9
1,9,7,8,1,2,1,3,1,1,10
1,9,7,9,1,3,1,5,1,1,11
1,9,7,10,1,4,1,7,2,1,11
1,9,7,10,1,5,1,8,3,1,12
1,9,7,10,1,5,1,8,3,1,12
1,9,7,10,1,5,1,8,3,1,12
1,9,7,10,1,5,1,8,3,1,12
1,9,7,10,1,5,1,8,3,1,12
1,9,7,10,1,5,1,8,3,1,12
1,10,8,11,1,5,1,8,3,1,13
1,11,8,12,1,5,1,8,3,1,13
1,11,8,12,1,5,1,8,3,1,13
1,12,9,13,1,5,1,8,3,1,13
1,13,10,13,1,5,2,8,3,1,13
1,14,10,13,1,5,2,8,3,1,13
1,14,10,13,1,5,2,8,3,1,13
1,14,10,13,1,5,2,8,3,1,13
1,14,10,13,1,5,2,8,3,1,13
1,14,10,13,1,5,2,8,3,1,13
1,14,10,13,1,5,2,8,3,1,13
1,14,10,13,1,5,2,8,3,1,13
1,14,10,13,1,5,2,8,3,1,13
1,14,11,13,1,5,3,8,3,1,13
1,14,12,13,2,5,3,8,3,1,13
1,14,13,13,3,5,4,8,3,1,13
1,14,13,13,3,5,4,8,3,1,13
1,14,13,13,3,5,4,8,3,1,13
1,14,13,13,3,5,4,8,3,1,13
1,14,13,13,3,5,4,8,3,1,13
1,14,13,13,3,5,4,8,3,1,13
1,14,13,13,3,5,4,8,3,1,13
1,14,13,13,3,5,4,8,3,1,13
1,14,13,13,3,5,4,8,3,1,13
1,14,13,13,3,5,4,8,3,1,13
1,14,13,13,3,5,4,8,3,1,13
1,14,13,13,3,5,4,8,3,1,13
1,14,13,13,3,5,4,8,3,1,13
1,14,13,13,3,5,4,8,3,1,13
1,14,13,13,3,5,4,8,3,1,13
1,14,13,13,3,5,4,8,3,1,12
1,14,13,13,3,5,4,8,3,1,12
1,14,12,13,2,5,3,8,3,1,11
1,14,12,13,2,5,3,8,3,1,11
1,14,11,13,1,5,2,8,3,1,10
1,14,11,13,1,5,2,8,3,1,10
1,14,10,13,1,5,1,8,3,1,9
1,14,10,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,9,13,1,5,1,8,3,1,9
1,14,10,13,2,5,1,8,3,1,10
1,14,10,13,2,5,1,8,3,1,10
1,14,11,13,4,5,1,8,3,1,11
1,14,11,13,4,5,1,8,3,1,11
1,14,11,13,4,5,1,8,3,1,11
1,14,11,13,4,5,1,8,3,1,11
1,14,11,13,4,5,1,8,3,1,11
1,14,11,13,4,5,1,8,3,1,11
1,14,11,13,4,5,1,8,3,1,11
1,14,11,13,4,5,1,8,3,1,11
1,14,11,13,4,5,1,8,3,1,11
1,14,11,13,4,5,1,8,3,1,11
1,14,11,13,4,5,1,8,3,1,11
1,14,11,13,4,5,1,8,3,1,11
1,14,11,13,4,5,1,8,3,1,11
1,14,11,13,4,5,1,8,3,1,11
1,14,11,13,4,5,1,8,3,1,11
1,14,11,13,4,5,1,8,3,1,11
1,14,11,13,4,5,1,8,3,1,11
1,14,11,13,4,5,1,8,3,1,11
1,14,11,13,4,5,1,8,3,1,11
1,14,11,13,4,5,1,8,3,1,11
1,14,11,13,4,5,1,8,3,1,11
1,14,11,13,4,5,1,8,3,1,11
1,14,11,13,4,5,1,8,3,1,11
1,14,11,13,4,5,1,8,3,1,11
1,14,11,13,4,5,1,8,3,1,11
1,14,11,13,4,5,1,8,3,1,11
