adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,redis-cart,shippingservice
1,1,2,4,1,2,1,1,2,1,1
1,1,4,8,1,4,1,1,4,1,1
1,1,8,14,2,8,1,1,8,1,1
1,1,14,14,4,14,1,1,1,1,1
1,1,14,14,1,14,1,1,14,1,1
1,1,14,1,1,14,1,1,14,1,1
1,1,14,1,2,14,2,1,14,1,1
1,1,14,2,4,14,4,1,1,1,1
1,1,14,4,1,14,1,1,1,1,1
1,1,14,8,8,14,1,1,2,1,1
1,1,14,14,14,14,1,1,4,1,1
1,1,14,14,1,14,1,1,8,1,1
1,1,14,14,1,14,1,1,8,1,1
1,1,14,14,1,14,1,1,1,1,1
1,1,14,1,1,1,1,1,14,1,1
1,1,14,1,1,2,1,1,14,1,1
1,1,14,2,1,4,1,1,1,1,1
1,1,14,4,1,8,1,1,1,1,1
1,1,14,8,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,1,1,1
1,1,14,1,1,1,1,1,2,1,1
1,1,14,1,1,2,1,1,4,1,1
1,1,14,2,1,4,1,1,1,1,1
1,1,14,4,1,8,1,1,1,1,1
1,1,14,8,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,2,1,1
1,1,14,14,1,14,1,1,1,1,1
1,1,14,1,1,14,1,1,4,1,1
1,1,14,1,1,14,1,1,8,1,1
1,1,14,2,1,14,1,1,1,1,1
1,1,14,4,1,14,1,1,1,1,1
1,1,14,8,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,2,1,1
1,1,14,14,1,14,1,1,4,1,1
1,1,14,1,1,14,1,1,8,1,1
1,1,14,1,1,14,1,1,1,1,1
1,1,14,2,1,14,1,1,1,1,1
1,1,14,4,1,14,1,1,1,1,1
1,1,14,8,1,14,1,1,2,1,1
1,1,14,14,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,4,1,1
1,1,14,1,1,14,1,1,8,1,1
1,1,14,1,1,14,1,1,1,1,1
1,2,14,2,2,14,1,1,1,1,1
1,4,14,4,1,14,1,1,1,1,1
1,1,14,8,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,2,1,1
1,1,14,1,1,14,1,1,4,1,1
1,1,14,1,1,14,1,1,8,1,1
1,1,14,2,1,14,1,1,1,1,1
1,1,14,4,1,14,1,1,1,1,1
1,2,14,8,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,1,1,1
1,1,14,1,1,1,1,1,1,1,1
1,2,14,1,1,2,1,1,2,1,1
1,4,14,4,1,4,1,1,1,1,1
1,1,14,8,1,8,1,1,1,1,1
1,1,14,14,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,2,1,1
1,1,14,14,1,14,1,1,4,1,1
1,1,14,1,1,1,1,1,1,1,1
1,1,14,1,1,2,1,1,1,1,1
1,1,14,2,1,4,1,1,1,1,1
1,2,14,4,1,8,1,1,2,1,1
1,1,14,8,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,2,1,1
1,1,14,1,1,14,1,1,1,1,1
1,1,14,1,1,14,1,1,1,1,1
1,1,14,2,1,14,1,1,1,1,1
1,1,14,4,1,14,1,1,1,1,1
1,1,14,8,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,1,1,1
1,1,14,1,1,1,1,1,1,1,1
1,1,14,1,1,2,1,1,1,1,1
1,1,14,2,1,4,1,1,1,1,1
1,1,14,4,1,8,1,1,1,1,1
1,1,14,8,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,1,1,1
1,1,14,1,1,14,1,1,2,1,1
1,1,14,1,1,14,1,1,1,1,1
1,1,14,2,1,14,1,1,1,1,1
1,1,14,4,1,14,1,1,1,1,1
1,1,14,8,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,1,1,1
1,1,14,14,2,14,1,1,2,1,1
1,1,14,1,1,1,1,1,1,1,1
1,1,14,1,1,2,1,1,1,1,1
1,1,14,2,1,4,1,1,1,1,1
1,1,14,4,1,8,1,1,1,1,1
1,1,14,8,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,1,1,1
1,1,14,1,1,1,1,1,2,1,1
1,1,14,1,2,2,1,1,1,1,1
1,1,14,2,1,4,1,1,1,1,1
1,1,14,4,1,8,1,1,1,1,1
1,1,14,8,1,14,1,1,2,1,1
1,1,14,14,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,4,1,1
1,1,14,14,1,14,1,1,8,1,1
1,1,14,1,1,1,1,1,1,1,1
1,1,14,1,1,2,1,1,1,1,1
1,1,14,2,1,4,1,1,2,1,1
1,1,14,4,1,8,1,1,4,1,1
1,1,14,8,1,14,1,1,8,1,1
1,1,14,14,1,14,1,1,1,1,1
1,1,14,14,1,14,1,1,1,1,1
