adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,redis-cart,shippingservice
1,2,4,7,1,5,1,2,3,1,1
1,3,7,14,1,10,1,3,5,1,1
1,2,6,12,1,9,1,2,4,1,1
1,2,6,10,1,7,1,2,4,1,1
1,2,6,10,1,7,1,2,4,1,1
1,2,6,10,1,7,1,2,4,1,1
1,2,6,10,1,7,1,2,4,1,1
1,2,6,10,1,7,1,2,4,1,1
1,2,6,10,1,7,1,2,4,1,1
1,2,6,10,1,8,1,2,4,1,1
1,2,6,10,1,7,1,2,4,1,1
1,2,5,10,1,7,1,2,4,1,1
1,2,5,10,1,7,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,10,1,7,1,2,4,1,1
1,2,5,9,1,7,1,2,3,1,1
1,2,5,9,1,7,1,2,4,1,1
1,2,5,9,1,7,1,2,3,1,1
1,2,5,9,1,7,1,2,4,1,1
1,2,5,9,1,7,1,2,3,1,1
1,2,4,9,1,7,1,2,3,1,1
1,2,5,9,1,7,1,2,3,1,1
1,2,5,9,1,7,1,2,3,1,1
1,2,4,8,1,7,1,2,3,1,1
1,2,4,8,1,7,1,2,3,1,1
1,2,4,8,1,7,1,2,3,1,1
1,2,5,8,1,7,1,2,3,1,1
1,2,6,9,1,7,1,2,4,1,1
1,2,5,8,1,7,1,2,4,1,1
1,2,5,9,1,7,1,2,4,1,1
1,2,5,8,1,7,1,2,4,1,1
1,2,5,8,1,7,1,2,4,1,1
1,2,5,8,1,7,1,2,3,1,1
1,2,5,8,1,7,1,2,3,1,1
1,2,5,8,1,7,1,2,4,1,1
1,2,5,8,1,7,1,2,3,1,1
1,2,5,8,1,7,1,2,3,1,1
1,2,5,8,1,7,1,2,3,1,1
1,2,5,8,1,7,1,2,3,1,1
1,2,5,8,1,7,1,2,3,1,1
1,2,4,8,1,7,1,2,3,1,1
1,2,4,8,1,7,1,2,3,1,1
1,2,4,9,1,7,1,2,3,1,1
1,2,5,9,1,7,1,2,3,1,1
1,2,4,8,1,7,1,2,3,1,1
1,2,4,9,1,7,1,2,3,1,1
1,2,4,9,1,7,1,2,3,1,1
1,2,4,9,1,7,1,2,3,1,1
1,2,4,9,1,7,1,2,3,1,1
1,2,4,9,1,7,1,2,3,1,1
1,2,3,9,1,7,1,2,3,1,1
1,2,3,9,1,7,1,2,3,1,1
1,2,4,9,1,7,1,2,3,1,1
1,2,3,9,1,7,1,2,3,1,1
1,2,3,9,1,7,1,2,3,1,1
1,2,3,9,1,7,1,2,3,1,1
1,2,3,9,1,7,1,2,3,1,1
1,2,3,9,1,7,1,2,3,1,1
1,2,3,9,1,7,1,2,3,1,1
1,2,3,10,1,7,1,2,3,1,1
1,2,3,10,1,7,1,2,3,1,1
1,2,3,10,1,7,1,2,3,1,1
1,2,3,10,1,7,1,2,3,1,1
1,2,3,10,1,7,1,2,3,1,1
1,2,3,11,1,7,1,2,3,1,1
1,2,3,10,1,7,1,2,3,1,1
1,2,3,11,1,7,1,2,3,1,1
1,2,3,11,1,7,1,2,3,1,1
1,2,3,11,1,7,1,2,3,1,1
1,2,3,11,1,7,1,2,3,1,1
1,2,3,11,1,7,1,2,3,1,1
1,2,3,11,1,7,1,2,3,1,1
1,2,4,12,1,8,1,2,3,1,1
1,2,4,12,1,8,1,2,3,1,1
1,2,3,12,1,8,1,2,3,1,1
1,2,3,12,1,8,1,2,3,1,1
1,2,3,12,1,8,1,2,3,1,1
1,2,4,12,1,8,1,2,3,1,1
1,2,4,12,1,8,1,2,3,1,1
1,2,4,12,1,8,1,2,3,1,1
1,2,4,12,1,8,1,2,3,1,1
1,2,4,12,1,8,1,2,3,1,1
1,2,4,12,1,8,1,2,4,1,1
1,2,4,12,1,8,1,2,4,1,1
1,2,5,12,1,8,1,2,4,1,1
1,2,5,12,1,8,1,2,4,1,1
1,2,5,12,1,8,1,2,4,1,1
1,2,5,11,1,8,1,2,4,1,1
1,2,5,11,1,7,1,2,4,1,1
1,2,5,12,1,8,1,2,4,1,1
1,2,5,11,1,7,1,2,4,1,1
1,2,5,11,1,7,1,2,4,1,1
1,2,6,11,1,8,1,2,4,1,1
1,2,6,11,1,8,1,2,4,1,1
1,2,6,11,1,7,1,2,4,1,1
1,2,6,11,1,7,1,2,4,1,1
1,2,6,11,1,8,1,2,4,1,1
1,2,6,12,1,8,1,2,4,1,1
1,2,6,12,1,8,1,2,4,1,1
1,2,6,12,1,8,1,2,4,1,1
1,2,7,12,1,8,1,2,4,1,1
1,2,7,12,1,8,1,2,4,1,1
1,2,7,12,1,8,1,2,4,1,1
1,2,7,12,1,8,1,2,4,1,1
1,2,7,12,1,8,1,2,4,1,1
1,2,7,12,1,8,1,2,4,1,1
1,2,6,11,1,7,1,2,4,1,1
1,2,6,11,1,7,1,2,4,1,1
1,2,7,12,1,8,1,2,4,1,1
1,2,6,11,1,8,1,2,4,1,1
1,2,6,11,1,7,1,2,4,1,1
1,2,6,11,1,7,1,2,4,1,1
1,2,6,11,1,7,1,2,4,1,1
1,2,6,10,1,7,1,2,4,1,1
1,2,6,10,1,7,1,2,4,1,1
1,2,6,10,1,7,1,2,4,1,1
1,2,6,10,1,7,1,2,4,1,1
1,2,6,10,1,7,1,2,4,1,1
1,2,6,9,1,7,1,2,4,1,1
