adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,redis-cart,shippingservice
1,1,5,9,1,7,1,2,3,1,1
1,1,5,9,1,6,1,2,3,1,1
1,1,5,10,1,7,1,2,4,1,1
1,1,5,10,1,7,1,2,4,1,1
1,1,5,10,1,8,1,2,4,1,1
1,1,5,10,1,7,1,2,4,1,1
1,1,5,10,1,7,1,2,4,1,1
1,1,5,10,1,7,1,2,4,1,1
1,1,5,10,1,7,1,2,4,1,1
1,1,5,10,1,7,1,2,4,1,1
1,1,5,10,1,8,1,2,4,1,1
1,1,5,10,1,8,1,2,4,1,1
1,1,5,10,1,8,1,2,4,1,1
1,1,4,10,1,7,1,2,3,1,1
1,1,4,10,1,7,1,2,3,1,1
1,1,4,10,1,7,1,2,3,1,1
1,1,4,9,1,7,1,2,3,1,1
1,1,4,9,1,7,1,2,3,1,1
1,1,4,9,1,7,1,2,3,1,1
1,1,4,9,1,7,1,2,3,1,1
1,1,4,9,1,7,1,2,3,1,1
1,1,4,9,1,7,1,2,3,1,1
1,1,4,9,1,7,1,2,3,1,1
1,1,4,9,1,7,1,2,3,1,1
1,1,4,9,1,7,1,2,3,1,1
1,1,4,9,1,7,1,2,3,1,1
1,1,4,8,1,7,1,2,3,1,1
1,1,4,8,1,7,1,2,3,1,1
1,1,4,9,1,7,1,2,3,1,1
1,1,4,8,1,7,1,2,3,1,1
1,1,4,8,1,7,1,2,3,1,1
1,1,4,8,1,7,1,2,3,1,1
1,1,4,8,1,7,1,2,3,1,1
1,1,4,8,1,7,1,2,3,1,1
1,1,5,9,1,7,1,2,3,1,1
1,1,4,9,1,7,1,2,3,1,1
1,1,4,9,1,7,1,2,3,1,1
1,1,4,9,1,7,1,2,3,1,1
1,1,4,9,1,7,1,2,3,1,1
1,1,4,8,1,7,1,2,3,1,1
1,1,4,9,1,7,1,2,3,1,1
1,1,4,9,1,7,1,2,3,1,1
1,1,4,8,1,6,1,2,3,1,1
1,1,4,9,1,7,1,2,3,1,1
1,1,4,9,1,7,1,2,3,1,1
1,1,3,9,1,7,1,2,3,1,1
1,1,3,9,1,7,1,2,3,1,1
1,1,3,9,1,7,1,2,3,1,1
1,1,3,10,1,7,1,2,3,1,1
1,1,3,10,1,7,1,2,3,1,1
1,1,3,10,1,7,1,2,3,1,1
1,1,3,10,1,7,1,2,3,1,1
1,1,3,9,1,7,1,2,3,1,1
1,1,3,10,1,7,1,2,3,1,1
1,1,3,10,1,7,1,2,3,1,1
1,1,3,9,1,7,1,2,3,1,1
1,1,3,10,1,7,1,2,3,1,1
1,1,3,10,1,7,1,2,3,1,1
1,1,3,10,1,7,1,2,3,1,1
1,1,3,10,1,7,1,2,3,1,1
1,1,3,10,1,7,1,2,3,1,1
1,1,3,10,1,7,1,2,3,1,1
1,1,3,10,1,7,1,2,3,1,1
1,1,3,11,1,7,1,2,3,1,1
1,1,3,11,1,7,1,2,3,1,1
1,1,3,11,1,7,1,2,3,1,1
1,1,3,11,1,7,1,2,3,1,1
1,1,3,11,1,7,1,2,3,1,1
1,1,3,11,1,7,1,2,3,1,1
1,1,3,12,1,8,1,2,3,1,1
1,1,3,12,1,8,1,2,3,1,1
1,1,3,12,1,8,1,2,3,1,1
1,1,3,12,1,8,1,2,3,1,1
1,1,3,12,1,8,1,2,3,1,1
1,1,3,12,1,8,1,2,3,1,1
1,1,3,12,1,8,1,2,3,1,1
1,1,3,13,1,8,1,2,3,1,1
1,1,3,12,1,8,1,2,3,1,1
1,1,3,12,1,8,1,2,3,1,1
1,1,3,12,1,8,1,2,3,1,1
1,1,3,12,1,8,1,2,3,1,1
1,1,3,12,1,8,1,2,3,1,1
1,1,4,12,1,8,1,2,3,1,1
1,1,4,12,1,8,1,2,3,1,1
1,1,4,12,1,8,1,2,3,1,1
1,1,4,12,1,8,1,2,3,1,1
1,1,4,12,1,8,1,2,3,1,1
1,1,4,12,1,8,1,2,3,1,1
1,1,5,12,1,8,1,2,4,1,1
1,1,4,11,1,7,1,2,3,1,1
1,1,5,12,1,8,1,2,4,1,1
1,1,5,12,1,7,1,2,4,1,1
1,1,5,12,1,8,1,2,4,1,1
1,1,5,12,1,8,1,2,4,1,1
1,1,5,12,1,8,1,2,4,1,1
1,1,5,12,1,8,1,2,4,1,1
1,1,5,12,1,8,1,2,4,1,1
1,1,5,13,1,8,1,2,4,1,1
1,1,5,13,1,8,1,2,4,1,1
1,1,5,13,1,8,1,2,4,1,1
1,1,6,13,1,8,1,2,4,1,1
1,1,5,12,1,8,1,2,4,1,1
1,1,5,12,1,8,1,2,4,1,1
1,1,5,12,1,8,1,2,4,1,1
1,1,5,12,1,8,1,2,4,1,1
1,1,6,12,1,8,1,2,4,1,1
1,1,6,12,1,8,1,2,4,1,1
1,1,6,12,1,8,1,2,4,1,1
1,1,5,11,1,8,1,2,4,1,1
1,1,5,11,1,7,1,2,4,1,1
1,1,5,11,1,7,1,2,4,1,1
1,1,5,11,1,7,1,2,4,1,1
1,1,5,10,1,7,1,2,4,1,1
1,1,5,10,1,7,1,2,4,1,1
1,1,5,10,1,7,1,2,4,1,1
1,1,5,10,1,7,1,2,4,1,1
1,1,5,10,1,7,1,2,4,1,1
1,1,5,10,1,7,1,2,3,1,1
1,1,5,9,1,7,1,2,3,1,1
