adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,redis-cart,shippingservice
3,6,1,8,1,2,1,8,1,1,3
3,6,1,8,1,2,1,8,1,1,3
3,5,1,8,1,2,1,8,1,1,2
3,5,1,8,1,2,1,8,1,1,2
3,6,1,8,1,3,1,8,1,1,3
3,6,1,8,1,3,1,8,1,1,3
3,6,1,8,1,3,1,8,1,1,3
3,6,1,8,1,3,1,8,1,1,3
3,6,1,8,1,3,1,8,1,1,3
3,6,1,8,1,3,1,8,1,1,3
3,6,1,8,1,3,1,8,1,1,3
3,6,1,8,1,3,1,8,1,1,3
3,6,1,8,1,3,1,8,1,1,3
3,6,1,8,1,2,1,8,1,1,3
3,6,1,8,1,2,1,8,1,1,3
3,6,1,8,1,3,1,8,1,1,3
3,6,1,8,1,3,1,8,1,1,3
3,6,1,8,1,2,1,8,1,1,3
3,6,1,8,1,2,1,8,1,1,3
3,6,1,8,1,3,1,8,1,1,3
3,6,1,8,1,3,1,8,1,1,3
3,6,1,8,1,3,1,8,1,1,3
3,6,1,8,1,3,1,8,1,1,3
3,6,1,8,1,3,1,8,1,1,3
3,6,1,8,1,3,1,8,1,1,3
3,6,1,8,1,3,1,8,1,1,3
3,6,1,8,1,3,1,8,1,1,3
3,6,1,8,1,3,1,8,1,1,3
3,6,1,8,1,3,1,8,1,1,3
