adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,redis-cart,shippingservice
1,1,6,1,1,6,1,1,1,1,1
1,6,6,1,1,7,1,1,1,1,1
1,6,6,1,1,6,1,1,1,1,1
1,6,6,1,1,6,1,1,1,1,1
1,3,3,1,1,7,1,1,1,1,1
1,3,6,1,1,6,1,1,1,1,1
1,1,6,1,1,7,1,1,1,1,1
1,6,6,1,1,6,1,1,1,1,1
1,3,6,1,1,6,1,1,1,1,1
1,3,7,1,1,7,1,1,1,1,1
1,3,6,1,1,6,1,1,1,1,1
1,3,6,1,1,7,1,1,1,1,1
1,1,6,1,1,4,1,1,1,1,1
1,1,6,1,1,6,1,1,1,1,1
1,3,5,1,1,3,1,1,1,1,1
1,3,5,1,1,5,1,1,6,1,1
1,3,5,1,1,7,1,1,6,1,1
1,4,6,1,1,4,1,1,3,1,1
1,4,5,1,1,7,1,1,3,1,1
1,6,5,1,1,7,1,1,1,1,1
1,6,5,1,1,7,1,1,1,1,1
1,5,6,1,1,7,1,1,3,1,1
1,5,7,1,1,7,1,1,3,1,1
1,4,6,1,1,7,1,1,4,1,1
1,5,5,1,1,4,1,1,4,1,1
1,5,5,1,1,4,1,1,4,1,1
1,6,5,1,1,7,1,1,4,1,1
1,6,7,1,1,7,1,1,4,1,1
1,6,5,1,1,5,1,1,4,1,1
