adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,redis-cart,shippingservice
1,2,1,2,1,2,1,5,1,1,1
1,3,2,2,1,3,1,7,1,1,1
1,4,3,2,1,4,1,8,1,1,1
1,4,3,2,1,4,1,8,1,1,1
1,5,5,3,1,4,1,8,1,1,2
1,5,6,4,1,6,1,8,1,1,3
1,5,6,4,1,6,1,8,1,1,3
1,5,6,4,1,6,1,8,1,1,3
1,5,6,4,1,6,1,8,1,1,3
1,5,6,4,1,6,1,8,1,1,3
1,5,6,4,1,6,1,8,1,1,3
1,5,6,4,1,6,1,8,1,1,3
1,5,6,4,1,6,1,8,1,1,3
1,5,6,4,1,6,1,8,1,1,3
1,5,6,4,1,6,1,8,1,1,3
1,5,6,4,1,6,1,8,1,1,3
1,5,6,4,1,6,1,8,1,1,3
1,6,7,5,1,6,1,8,1,1,4
1,6,7,5,1,6,1,8,1,1,4
1,7,8,7,1,6,1,8,1,1,5
1,7,8,7,1,6,1,8,1,1,5
1,7,8,7,1,6,1,8,1,1,5
1,7,8,7,1,6,1,8,1,1,5
1,7,8,7,1,6,1,8,1,1,5
1,7,8,7,1,6,1,8,1,1,5
1,7,8,7,1,6,1,8,1,1,5
1,7,8,7,1,6,1,8,1,1,5
1,7,8,7,1,6,1,8,1,1,5
1,7,8,7,1,6,1,8,1,1,5
