adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,redis-cart,shippingservice
1,1,8,8,1,8,1,1,4,1,1
1,2,8,8,1,8,1,1,4,1,1
4,8,8,8,8,8,8,1,8,1,1
4,8,8,8,8,8,8,1,8,1,1
4,8,8,8,8,8,8,1,8,1,1
8,8,8,8,8,8,8,2,8,1,1
8,8,8,8,8,8,8,2,8,1,1
8,8,8,8,8,8,8,2,8,1,1
8,8,8,8,8,8,8,2,8,1,1
8,8,8,8,8,8,8,2,8,1,1
8,8,8,8,8,8,8,2,8,1,1
8,8,8,8,8,8,8,2,8,1,1
8,8,8,8,8,8,8,2,8,1,1
8,8,8,8,8,8,8,2,8,1,1
8,8,8,8,8,8,8,2,8,1,1
8,8,8,8,8,8,8,2,8,1,1
8,8,8,8,8,8,8,2,8,1,1
8,8,8,8,8,8,8,2,8,1,1
8,8,8,8,8,8,8,2,8,1,1
8,8,8,8,8,8,8,2,8,1,1
8,8,8,8,8,8,8,2,8,1,1
8,8,8,8,8,8,8,2,8,1,1
8,8,8,8,8,8,8,2,8,1,1
8,8,8,8,8,8,8,2,8,1,1
8,8,8,8,8,8,8,2,8,1,1
8,8,8,8,8,8,8,2,8,1,1
8,8,8,8,8,8,8,2,8,1,1
8,8,8,8,8,8,8,2,8,1,1
8,8,8,8,8,8,8,2,8,1,1
