adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,redis-cart,shippingservice
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
2,6,1,2,1,2,1,1,1,1,1
3,7,1,3,1,5,1,1,1,1,1
4,8,1,5,1,6,1,1,1,1,1
5,9,1,7,1,7,1,1,1,1,1
5,10,1,9,1,9,1,7,1,1,1
5,10,1,9,1,9,1,7,1,1,1
5,10,1,9,1,9,1,7,1,1,1
5,10,1,9,1,9,1,7,1,1,1
5,10,1,9,1,9,1,7,1,1,1
5,10,1,9,1,9,1,7,1,1,1
5,10,1,9,1,9,1,7,1,1,1
4,9,1,8,1,8,1,6,1,1,1
4,9,1,8,1,8,1,6,1,1,1
3,8,1,7,1,7,1,5,1,1,1
3,8,1,7,1,7,1,5,1,1,1
2,7,1,6,1,6,1,4,1,1,1
2,7,1,6,1,6,1,4,1,1,1
1,6,1,5,1,5,1,3,1,1,1
4,7,1,7,1,6,1,3,1,1,1
4,8,1,8,1,7,1,4,1,1,1
4,10,1,9,1,8,1,5,1,1,1
7,11,1,12,1,9,1,5,1,1,1
7,11,1,12,1,9,1,5,1,1,1
7,12,1,13,1,10,1,6,1,1,1
7,13,1,13,1,11,1,7,1,1,1
8,13,1,13,1,12,1,8,1,1,1
9,13,1,13,1,13,1,9,1,1,1
