adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,redis-cart,shippingservice
1,1,1,14,1,14,1,1,1,1,1
1,1,1,14,1,14,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,14,1,14,1,1,1,1,1
1,1,1,14,1,14,1,1,1,1,1
1,1,1,14,1,14,1,1,1,1,1
1,1,1,1,1,14,1,1,1,1,1
1,1,1,14,1,14,1,1,1,1,1
1,1,1,14,1,14,1,1,1,1,1
1,1,1,1,1,14,1,1,1,1,1
1,1,1,14,1,14,1,1,1,1,1
1,1,1,14,1,14,1,1,1,1,1
1,1,1,14,1,14,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,14,1,14,1,1,1,1,1
1,1,1,14,1,14,1,1,1,1,1
1,1,1,14,1,14,1,1,1,1,1
1,1,1,14,1,14,1,1,1,1,1
1,1,1,1,1,14,1,1,1,1,1
1,1,1,14,1,14,1,1,1,1,1
1,1,1,14,1,14,1,1,1,1,1
1,1,1,14,1,14,1,1,1,1,1
1,1,1,14,1,14,1,1,1,1,1
