adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,redis-cart,shippingservice
1,1,1,4,1,2,1,1,1,1,1
1,1,1,4,1,2,1,1,1,1,1
1,1,1,4,1,2,1,1,1,1,1
1,1,1,4,1,2,1,1,1,1,1
1,1,1,4,1,2,1,1,1,1,1
1,1,1,4,1,2,1,1,1,1,1
1,1,1,4,1,2,1,1,1,1,1
1,1,1,4,1,2,1,1,1,1,1
1,1,1,4,1,2,1,1,1,1,1
1,1,1,4,1,2,1,1,1,1,1
1,1,1,4,1,2,1,1,1,1,1
1,1,1,4,1,2,1,1,1,1,1
1,1,1,4,1,2,1,1,1,1,1
1,1,1,4,1,2,1,1,1,1,1
1,1,1,4,1,2,1,1,1,1,1
1,1,1,4,1,2,1,1,1,1,1
1,1,1,8,1,4,1,1,1,1,1
1,1,1,11,1,6,1,1,2,1,1
1,1,1,11,1,6,1,1,2,1,1
1,1,1,11,1,6,1,1,2,1,1
1,1,1,11,1,6,1,1,2,1,1
1,1,1,11,1,6,1,1,2,1,1
1,1,1,11,1,6,1,1,2,1,1
1,1,1,11,1,6,1,1,2,1,1
1,1,1,11,1,6,1,1,2,1,1
1,1,1,11,1,6,1,1,2,1,1
1,1,1,11,1,6,1,1,2,1,1
1,1,1,11,1,6,1,1,2,1,1
1,1,1,11,1,6,1,1,2,1,1
