adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,redis-cart,shippingservice
1,1,1,6,1,3,1,1,1,1,1
1,1,1,5,1,3,1,1,1,1,1
1,1,1,4,1,2,1,1,1,1,1
1,1,1,4,1,2,1,1,1,1,1
1,1,1,4,1,2,1,1,1,1,1
1,1,1,4,1,2,1,1,1,1,1
1,1,1,5,1,3,1,1,1,1,1
1,1,1,4,1,2,1,1,1,1,1
1,1,1,4,1,2,1,1,1,1,1
1,1,1,4,1,2,1,1,1,1,1
1,1,1,4,1,2,1,1,1,1,1
1,1,1,4,1,2,1,1,1,1,1
1,1,1,5,1,2,1,1,1,1,1
1,1,1,4,1,2,1,1,1,1,1
1,1,1,3,1,2,1,1,1,1,1
1,1,1,3,1,2,1,1,1,1,1
1,1,1,6,1,3,1,1,1,1,1
1,1,1,9,1,5,1,1,1,1,1
1,1,1,9,1,5,1,1,1,1,1
1,1,1,9,1,5,1,1,1,1,1
1,1,1,9,1,5,1,1,1,1,1
1,2,1,14,1,8,1,1,2,1,1
1,2,1,14,1,9,1,2,2,1,1
1,2,1,14,1,9,1,2,2,1,1
1,2,1,14,1,8,1,2,2,1,1
1,2,1,14,1,7,1,1,2,1,1
1,2,1,14,1,7,1,1,2,1,1
1,2,1,14,1,7,1,1,2,1,1
1,2,1,14,1,7,1,1,2,1,1
