/ && GET,/login && GET,/customers && GET,/category.html && GET,/detail.html?id={} && GET,/cart && DELETE,/cart && POST,/basket.html && GET,avg,unknown
5854.993055790796,9500.0,20990.8920439325,8582.574336994376,8684.699305187032,8969.146848659122,9150.311704980402,4749.999999999999,8228.266997845227,622.7897115623549
5895.535369153462,9500.0,21491.400985618027,8624.28341546817,8679.58498705337,8974.261166792789,9131.315666198221,4749.999999999995,8316.900062193781,675.0143234400962
8392.835023670767,21999.999999999993,18600.76775431863,9025.031989763276,9905.001235615104,18047.684338817788,9568.132272585714,9009.103600721308,9524.810129187199,770.5293983200957
9210.561251314406,21000.0,21502.703826955083,12003.327787021593,15332.36232487169,22933.499791926755,20888.05659592177,19159.13153191041,15513.545361662722,867.1935688773656
9213.700778780609,21000.0,21732.85881546634,12286.595465189328,15246.637147610109,22948.19553660018,20814.577872554688,19269.225836385653,15646.610939964192,917.8006901087757
9625.023877564188,23454.545454545456,24899.727176268607,26470.960840816606,17220.163215062174,23111.52291254312,22618.900448950597,20977.079999299975,19758.50113724968,1036.9310083477267
9625.611289984554,23454.545454545456,24927.962099082994,26666.997020842166,17170.142664958876,23121.52702256378,22575.434315757375,21013.044082089036,19978.685742755362,1132.6188990675578
16363.53782281842,24375.0,25140.638027609442,26045.27137629861,18915.93971454237,23913.20838233443,23242.62819561752,21442.994319560603,21088.415533204137,1305.4085168025929
16359.48605905757,24375.000000000004,25158.829626703453,26209.49482637085,18886.386475506293,23919.912330698004,23217.624280099342,21458.18453760996,21193.459392958335,1362.717047597916
17384.410389755336,24111.11111111111,25064.260349862714,26253.27625045115,19612.158405754068,24344.98682359741,23499.342592856534,22556.807062705433,21733.47409632444,1489.8317666728735
17378.520630011397,24111.111111111117,25076.460873563774,26341.240882590828,19590.940909602352,24349.522977947083,23480.61520562819,22559.84461872818,21792.717327683364,1527.2011357956073
19777.7103624039,24100.0,25710.757874999203,25807.470682449974,21674.25427607035,25317.1097286791,24033.724101596934,22708.664742363224,22776.22720801769,1624.3583517152629
19772.42976814392,24100.000000000004,25720.01856184735,25883.63906552737,21661.467022293473,25319.95449097536,24020.168430412803,22708.924676399583,22806.76583958801,1650.3238960795466
19767.68970497588,24100.000000000007,25728.157280518957,25946.374193626936,21650.129029918506,25322.476838133436,24008.149110298815,22709.157142139105,22833.962422248576,1673.189369378177
20813.46168400754,24846.153846153848,25754.57056546215,25630.33465905441,22557.022775828722,25184.16605838368,24390.222771159424,22833.87195574067,23273.758485187107,1746.0870951795237
20809.104386420215,24846.15384615385,25760.981277875486,25680.693504118466,22548.783070442347,25186.312025879884,24381.286349371643,22835.319498607903,23291.1488537549,1762.7485045041046
20431.22778543141,25212.12121212121,25669.39024979203,26500.649275254465,22948.978148799077,25424.843422267433,24313.67933942583,23687.26662173409,23679.316698252052,1822.8545897876302
20427.891348649657,25212.121212121212,25674.507048176507,26527.16654318385,22943.163379689613,25426.488030978973,24306.87530667684,23687.857094108367,23694.503848915963,1835.0274952616824
