carts,carts-db,catalogue,catalogue-db,front-end,orders,orders-db,payment,queue-master,rabbitmq,session-db,shipping,user,user-db
6,8,1,2,14,6,1,1,1,1,2,1,1,2
6,8,1,2,6,6,1,1,1,1,2,1,1,2
6,8,1,2,2,6,1,1,1,1,2,1,1,2
6,8,1,2,7,6,1,1,1,1,2,1,1,2
6,8,1,2,11,6,1,1,1,1,2,1,1,2
6,8,1,2,19,6,1,1,1,1,2,1,1,2
6,8,1,2,18,6,1,1,1,1,2,1,1,2
6,8,1,2,18,6,1,1,1,1,2,1,1,2
6,8,1,2,18,6,1,1,1,1,2,1,1,2
6,8,1,2,18,6,1,1,1,1,2,1,1,2
6,8,1,2,15,6,1,1,1,1,2,1,1,2
6,8,1,2,16,6,1,1,1,1,2,1,1,2
6,8,1,2,17,6,1,1,1,1,2,1,1,2
6,8,1,2,16,6,1,1,1,1,2,1,14,2
6,8,1,2,17,6,1,1,1,1,2,1,6,2
6,8,1,2,18,6,1,1,1,1,2,1,2,2
6,8,1,2,18,6,1,1,1,1,2,1,7,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,1,2,18,6,1,1,1,1,2,1,11,2
6,8,14,2,18,6,1,1,1,1,2,1,11,2
6,8,6,2,18,6,1,1,1,1,2,1,11,2
6,8,2,2,18,6,1,1,1,1,2,1,11,2
6,8,7,2,18,6,1,1,1,1,2,1,11,2
6,8,11,2,18,6,1,1,1,1,2,1,11,2
6,8,11,2,18,6,1,1,1,1,2,1,11,2
6,8,17,2,19,6,1,1,1,1,2,1,11,2
6,8,19,2,19,6,1,1,1,1,2,1,11,2
6,8,18,2,19,6,1,1,1,1,2,1,11,2
6,8,15,2,18,6,1,1,1,1,2,1,17,2
6,8,14,2,19,6,1,1,1,1,2,1,17,2
6,8,15,2,18,6,1,1,1,1,2,1,18,2
6,8,17,2,19,6,1,1,1,1,2,1,15,2
6,8,18,2,19,6,1,1,1,1,2,1,14,2
6,8,19,2,19,6,1,1,1,1,2,1,18,2
6,8,19,2,19,6,1,1,1,1,2,1,17,2
6,8,19,2,19,6,1,1,1,1,2,1,16,2
6,8,18,2,18,6,1,1,1,1,2,1,15,2
6,8,15,2,19,6,1,14,1,1,2,1,15,2
6,8,18,2,18,6,1,6,1,1,2,1,16,2
6,8,16,2,19,6,1,16,1,1,2,1,17,2
6,8,18,2,18,6,1,10,1,1,2,14,15,2
6,8,17,2,19,6,1,17,1,1,2,6,17,2
6,8,18,2,19,6,1,7,1,1,2,16,16,2
6,8,19,2,19,6,1,19,1,1,2,17,19,2
6,8,19,2,19,6,1,17,1,1,2,19,19,2
6,8,17,2,19,6,1,17,1,1,2,7,18,2
6,8,19,2,19,6,1,18,1,1,2,18,19,2
6,8,18,2,18,6,1,13,1,1,2,17,17,2
6,8,19,2,19,6,1,15,1,1,2,15,17,2
6,8,19,2,19,6,1,17,1,1,2,17,19,2
6,8,17,2,19,6,1,13,1,1,2,13,18,2
6,8,19,2,19,6,1,18,1,1,2,15,18,2
6,8,19,2,19,6,1,19,1,1,2,18,19,2
6,8,19,2,19,6,1,19,1,1,2,16,19,2
6,8,19,2,19,6,1,19,1,1,2,18,19,2
6,8,19,2,19,6,1,19,1,1,2,18,19,2
6,8,19,2,19,6,1,19,1,1,2,19,19,2
6,8,19,2,19,6,1,19,1,1,2,19,19,2
6,8,18,2,18,6,1,19,1,1,2,18,19,2
6,8,19,2,19,6,1,19,1,1,2,19,19,2
6,8,19,2,19,6,1,19,1,1,2,19,19,2
