carts,carts-db,catalogue,catalogue-db,front-end,orders,orders-db,payment,queue-master,rabbitmq,session-db,shipping,user,user-db
6,8,1,2,21,6,1,1,1,1,2,1,1,2
6,8,1,2,9,6,1,1,1,1,2,1,1,2
6,8,1,2,3,6,1,1,1,1,2,1,1,2
6,8,1,2,21,6,1,1,1,1,2,1,1,2
6,8,1,2,11,6,1,1,1,1,2,1,1,2
6,8,1,2,5,6,1,1,1,1,2,1,1,2
6,8,1,2,12,6,1,1,1,1,2,1,1,2
6,8,1,2,26,6,1,1,1,1,2,1,1,2
6,8,1,2,25,6,1,1,1,1,2,1,1,2
6,8,1,2,13,6,1,1,1,1,2,1,1,2
6,8,1,2,26,6,1,1,1,1,2,1,1,2
6,8,1,2,27,6,1,1,1,1,2,1,1,2
6,8,1,2,21,6,1,1,1,1,2,1,1,2
6,8,1,2,21,6,1,1,1,1,2,1,1,2
6,8,1,2,21,6,1,1,1,1,2,1,1,2
6,8,1,2,21,6,1,1,1,1,2,1,1,2
6,8,1,2,21,6,1,1,1,1,2,1,1,2
6,8,1,2,21,6,1,1,1,1,2,1,1,2
6,8,1,2,21,6,1,1,1,1,2,1,1,2
6,8,1,2,21,6,1,1,1,1,2,1,1,2
6,8,1,2,21,6,1,1,1,1,2,1,1,2
6,8,1,2,21,6,1,1,1,1,2,1,1,2
6,8,1,2,21,6,1,1,1,1,2,1,1,2
6,8,1,2,21,6,1,1,1,1,2,1,1,2
6,8,1,2,21,6,1,1,1,1,2,1,1,2
6,8,1,2,21,6,1,1,1,1,2,1,1,2
6,8,1,2,21,6,1,1,1,1,2,1,1,2
6,8,1,2,21,6,1,1,1,1,2,1,1,2
6,8,1,2,21,6,1,1,1,1,2,1,1,2
