carts,carts-db,catalogue,catalogue-db,front-end,orders,orders-db,payment,queue-master,rabbitmq,session-db,shipping,user,user-db
6,8,1,2,3,6,1,1,1,1,2,1,2,2
6,8,1,2,4,6,1,1,1,1,2,1,3,2
6,8,1,2,5,6,1,1,1,1,2,1,4,2
6,8,1,2,6,6,1,1,1,1,2,1,5,2
6,8,1,2,7,6,1,1,1,1,2,1,6,2
6,8,1,2,8,6,1,1,1,1,2,1,7,2
6,8,1,2,10,6,1,1,1,1,2,1,8,2
6,8,1,2,10,6,1,1,1,1,2,1,8,2
6,8,1,2,10,6,1,1,1,1,2,1,8,2
6,8,1,2,10,6,1,1,1,1,2,1,8,2
6,8,1,2,10,6,1,1,1,1,2,1,8,2
6,8,1,2,10,6,1,1,1,1,2,1,8,2
6,8,1,2,10,6,1,1,1,1,2,1,8,2
6,8,1,2,10,6,1,1,1,1,2,1,8,2
6,8,1,2,10,6,1,1,1,1,2,1,8,2
6,8,1,2,10,6,1,1,1,1,2,1,8,2
6,8,1,2,10,6,1,1,1,1,2,1,8,2
6,8,1,2,10,6,1,1,1,1,2,1,8,2
6,8,1,2,10,6,1,1,1,1,2,1,8,2
6,8,1,2,10,6,1,1,1,1,2,1,8,2
6,8,1,2,10,6,1,1,1,1,2,1,8,2
6,8,1,2,10,6,1,1,1,1,2,1,8,2
6,8,1,2,10,6,1,1,1,1,2,1,8,2
6,8,1,2,10,6,1,1,1,1,2,1,8,2
6,8,1,2,10,6,1,1,1,1,2,1,8,2
6,8,1,2,10,6,1,1,1,1,2,1,8,2
6,8,1,2,10,6,1,1,1,1,2,1,8,2
6,8,1,2,10,6,1,1,1,1,2,1,8,2
6,8,1,2,10,6,1,1,1,1,2,1,8,2
